timestamp,market,slug,side,entry_price,exit_price,entry_second,exit_second,reason,btc_at_entry,btc_at_exit,btc_ret_at_entry,btc_ret_at_exit,pnl_gross,pnl_net,fees,balance
2026-02-11T16:11:08.990842+00:00,"Bitcoin Up or Down - February 11, 11:00AM-11:15AM ET",btc-updown-15m-1770825600,UP,0.5800,0.9700,319,669,TAKE_PROFIT,66579.05,66892.51,0.001073,0.005786,13.45,12.65,0.80,66.10
2026-02-11T16:30:20.056096+00:00,"Bitcoin Up or Down - February 11, 11:15AM-11:30AM ET",btc-updown-15m-1770826500,UP,0.4200,0.0000,371,920,RESOLUTION,67105.33,66597.54,0.000564,-0.007007,-20.00,-20.80,0.80,45.30
2026-02-11T16:45:03.211108+00:00,"Bitcoin Up or Down - February 11, 11:30AM-11:45AM ET",btc-updown-15m-1770827400,UP,0.5000,0.0000,321,903,RESOLUTION,66643.08,66242.01,0.000606,-0.005416,-20.00,-20.80,0.80,24.50
2026-02-11T16:59:55.982285+00:00,"Bitcoin Up or Down - February 11, 11:45AM-12:00PM ET",btc-updown-15m-1770828300,DOWN,0.5800,0.5900,362,896,RESOLUTION,66085.32,66048.41,-0.002365,-0.002923,0.34,-0.46,0.80,24.04
2026-02-11T17:15:03.728663+00:00,"Bitcoin Up or Down - February 11, 12:00PM-12:15PM ET",btc-updown-15m-1770829200,DOWN,0.5300,0.0000,326,904,RESOLUTION,65988.24,66270.00,-0.000745,0.003521,-20.00,-20.80,0.80,3.24
2026-02-11T17:25:48.438294+00:00,"Bitcoin Up or Down - February 11, 12:15PM-12:30PM ET",btc-updown-15m-1770830100,UP,0.5800,0.9700,301,648,TAKE_PROFIT,66319.09,66623.33,0.000741,0.005332,13.45,12.65,0.80,15.89
2026-02-11T17:59:55.639600+00:00,"Bitcoin Up or Down - February 11, 12:45PM-1:00PM ET",btc-updown-15m-1770831900,UP,0.5700,0.0300,311,896,RESOLUTION,66645.83,66514.38,0.000622,-0.001351,-18.95,-19.75,0.80,-3.85
2026-02-11T18:44:56.221641+00:00,"Bitcoin Up or Down - February 11, 1:30PM-1:45PM ET",btc-updown-15m-1770834600,DOWN,0.5800,0.0200,316,896,RESOLUTION,66868.00,67023.01,-0.000747,0.001570,-19.31,-20.11,0.80,-23.96
2026-02-11T18:56:03.914581+00:00,"Bitcoin Up or Down - February 11, 1:45PM-2:00PM ET",btc-updown-15m-1770835500,UP,0.6000,0.9700,351,664,TAKE_PROFIT,67092.55,67284.00,0.001134,0.003991,12.33,11.53,0.80,-12.43
2026-02-11T19:15:18.911712+00:00,"Bitcoin Up or Down - February 11, 2:00PM-2:15PM ET",btc-updown-15m-1770836400,DOWN,0.6000,0.0000,306,919,RESOLUTION,67236.50,67643.97,-0.000577,0.005479,-20.00,-20.80,0.80,-33.23
2026-02-11T20:14:55.753432+00:00,"Bitcoin Up or Down - February 11, 3:00PM-3:15PM ET",btc-updown-15m-1770840000,UP,0.5700,0.9800,318,896,RESOLUTION,67633.78,67648.00,0.000579,0.000790,14.39,13.59,0.80,-19.65
2026-02-11T20:26:01.080393+00:00,"Bitcoin Up or Down - February 11, 3:15PM-3:30PM ET",btc-updown-15m-1770840900,DOWN,0.5800,0.9700,301,661,TAKE_PROFIT,67613.99,67424.24,-0.000650,-0.003455,13.45,12.65,0.80,-7.00
2026-02-11T21:15:03.298589+00:00,"Bitcoin Up or Down - February 11, 4:00PM-4:15PM ET",btc-updown-15m-1770843600,DOWN,0.5200,0.0000,313,903,RESOLUTION,67509.72,67684.07,-0.000685,0.001896,-20.00,-20.80,0.80,-27.80
2026-02-11T21:30:13.464768+00:00,"Bitcoin Up or Down - February 11, 4:15PM-4:30PM ET",btc-updown-15m-1770844500,DOWN,0.5800,0.0000,350,913,RESOLUTION,67648.99,68204.91,-0.000540,0.007674,-20.00,-20.80,0.80,-48.60
2026-02-11T21:42:36.653909+00:00,"Bitcoin Up or Down - February 11, 4:30PM-4:45PM ET",btc-updown-15m-1770845400,DOWN,0.5900,0.9700,356,757,TAKE_PROFIT,68170.30,68003.24,-0.000557,-0.003006,12.88,12.08,0.80,-36.52
2026-02-11T21:57:51.759091+00:00,"Bitcoin Up or Down - February 11, 4:45PM-5:00PM ET",btc-updown-15m-1770846300,DOWN,0.5700,0.9700,390,772,TAKE_PROFIT,67969.23,67855.86,-0.000511,-0.002178,14.04,13.24,0.80,-23.28
2026-02-11T22:15:23.772278+00:00,"Bitcoin Up or Down - February 11, 5:00PM-5:15PM ET",btc-updown-15m-1770847200,UP,0.5600,0.0000,333,924,RESOLUTION,67840.80,67676.10,0.000542,-0.001887,-20.00,-20.80,0.80,-44.08
2026-02-11T22:26:32.285263+00:00,"Bitcoin Up or Down - February 11, 5:15PM-5:30PM ET",btc-updown-15m-1770848100,DOWN,0.5300,0.9800,324,692,TAKE_PROFIT,67623.74,67484.48,-0.000653,-0.002711,16.98,16.18,0.80,-27.90
2026-02-11T22:45:10.198389+00:00,"Bitcoin Up or Down - February 11, 5:30PM-5:45PM ET",btc-updown-15m-1770849000,DOWN,0.5600,0.0000,328,910,RESOLUTION,67531.30,67656.54,-0.000567,0.001287,-20.00,-20.80,0.80,-48.70
2026-02-11T22:57:11.160386+00:00,"Bitcoin Up or Down - February 11, 5:45PM-6:00PM ET",btc-updown-15m-1770849900,DOWN,0.4900,0.9700,325,731,TAKE_PROFIT,67622.48,67484.77,-0.000503,-0.002539,19.59,18.79,0.80,-29.91
2026-02-11T23:12:33.791976+00:00,"Bitcoin Up or Down - February 11, 6:00PM-6:15PM ET",btc-updown-15m-1770850800,DOWN,0.5300,0.9700,301,754,TAKE_PROFIT,67414.55,67268.48,-0.000976,-0.003140,16.60,15.80,0.80,-14.10
2026-02-11T23:44:56.197333+00:00,"Bitcoin Up or Down - February 11, 6:30PM-6:45PM ET",btc-updown-15m-1770852600,DOWN,0.6000,0.2100,552,896,RESOLUTION,66979.53,67019.46,-0.000553,0.000042,-13.00,-13.80,0.80,-27.90
2026-02-12T00:10:21.887158+00:00,"Bitcoin Up or Down - February 11, 7:00PM-7:15PM ET",btc-updown-15m-1770854400,UP,0.5400,0.9700,301,622,TAKE_PROFIT,67097.44,67350.46,0.000625,0.004398,15.93,15.13,0.80,-12.78
2026-02-12T00:29:56.118644+00:00,"Bitcoin Up or Down - February 11, 7:15PM-7:30PM ET",btc-updown-15m-1770855300,DOWN,0.5900,0.6700,444,896,RESOLUTION,67335.78,67416.63,-0.000550,0.000650,2.71,1.91,0.80,-10.87
2026-02-12T00:42:13.491028+00:00,"Bitcoin Up or Down - February 11, 7:30PM-7:45PM ET",btc-updown-15m-1770856200,UP,0.6000,0.9700,339,733,TAKE_PROFIT,67455.41,67536.49,0.000573,0.001776,12.33,11.53,0.80,0.67
2026-02-12T01:11:44.826199+00:00,"Bitcoin Up or Down - February 11, 8:00PM-8:15PM ET",btc-updown-15m-1770858000,UP,0.5900,0.9700,363,705,TAKE_PROFIT,67515.48,67593.72,0.000553,0.001713,12.88,12.08,0.80,12.75
2026-02-12T01:28:35.229793+00:00,"Bitcoin Up or Down - February 11, 8:15PM-8:30PM ET",btc-updown-15m-1770858900,DOWN,0.5600,0.0100,301,815,RESOLUTION,67657.86,67829.73,-0.000622,0.001916,-19.64,-20.44,0.80,-7.69
